customer_id,customer_key,full_name,email,region_name,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_numeric,segment,last_purchase_date,first_purchase_date,avg_order_value
1,C00001,Customer_1,user1@email.com,West,725,29,6178.85,3,4,4,344,3.67,Loyal Customers,2024-03-30,2023-01-10,2319.01
2,C00002,Customer_2,user2@email.com,Central,1020,19,556.9,2,3,1,231,1.99,About To Sleep,2023-06-09,2023-06-15,1129.6
3,C00003,Customer_3,user3@email.com,East,657,6,9127.22,4,1,5,415,3.35,Loyal Customers,2024-06-06,2023-01-29,2284.44
4,C00004,Customer_4,user4@email.com,Central,530,33,5558.68,5,5,4,554,4.66,Champions,2024-10-11,2023-01-15,625.54
5,C00005,Customer_5,user5@email.com,Central,590,19,5970.51,4,3,4,434,3.67,Champions,2024-08-12,2023-03-28,564.89
6,C00006,Customer_6,user6@email.com,South,1103,1,2254.79,1,1,2,112,1.34,Hibernating,2023-03-18,2023-01-23,1167.76
7,C00007,Customer_7,user7@email.com,East,671,5,10571.39,4,1,5,415,3.35,Loyal Customers,2024-05-23,2023-02-15,2461.57
8,C00008,Customer_8,user8@email.com,East,739,27,6461.68,3,4,4,344,3.67,Loyal Customers,2024-03-16,2023-01-28,889.78
9,C00009,Customer_9,user9@email.com,East,926,16,597.24,2,2,1,221,1.66,About To Sleep,2023-09-11,2023-01-26,377.11
10,C00010,Customer_10,user10@email.com,Central,860,6,2619.37,3,1,3,313,2.34,Potential Loyalist,2023-11-16,2023-01-10,568.79
11,C00011,Customer_11,user11@email.com,West,917,13,10874.49,2,2,5,225,3.02,Needs Attention,2023-09-20,2023-06-24,2604.49
12,C00012,Customer_12,user12@email.com,East,583,35,241.73,5,5,1,551,3.64,Loyal Customers,2024-08-19,2023-01-04,1974.59
13,C00013,Customer_13,user13@email.com,Central,522,19,16274.67,5,3,5,535,4.34,Champions,2024-10-19,2023-02-24,908.96
